title,isPartOf,pageCount,publicationYear,docSubType
"BOYS' AND GIRLS' CLUB WORK, ITS PRINCIPIES, POLICIES AND REQUIREMENTS",The Journal of Education,2,1916,research-article
CAN CITIES COMPETE WITH SUBURBIA FOR FAMILY LIVING?,Ekistics,4,1965,research-article
PROBLEMS OF PEASANT SETTLERS OF MALABAR,Proceedings of the Indian History Congress,9,1986,research-article
EXPLORING AN ANALYTIC MODEL OF URBAN HOUSING STRATA,Korea Journal of Population and Development,16,1992,research-article
Home Away from Home: Photographs from the on Char Collection,Manoa,18,2005,research-article
INTERCOLLEGIATE ATHLETICS: AN ECONOMIC EXPLANATION,Social Science Quarterly,15,1983,research-article
GROUP QUESTIONNAIRES AND THE TEACHING OF LOCAL HISTORY IN COLLEGES OF EDUCATION,Teaching History,4,1971,research-article
"Women, Kerala and Some Development Issues",Economic and Political Weekly,9,1994,research-article
Notes on Social Work Abroad,Charity Organisation Review,4,1902,misc
Review Article,Journal of Baltic Studies,3,2013,book-review
The Outlook From a Japanese Relocation Camp,Pi Lambda Theta Journal,2,1944,research-article
Attitudes and Actions of Homeowner Activist Leaders in Contemporary China,China Review,17,2016,research-article
Trade Unions and Women Workers in Tea Plantations,Economic and Political Weekly,3,1998,research-article
"Literature and Adoption: Themes, Theses, Questions",American Literary History,11,2014,book-review
"STREET CODES, ROUTINE ACTIVITIES, NEIGHBOURHOOD CONTEXT AND VICTIMIZATION",The British Journal of Criminology,23,2015,research-article
THE IMPORT OF PERSIAN HORSES IN INDIA 13-17TH SENTURIES,Proceedings of the Indian History Congress,6,1984,research-article
New Directions for Nurseries,Young Children,6,1968,research-article
The Contradiction,Columbia: A Journal of Literature and Art,4,2007,research-article
Review Article,Discourse & Society,3,1995,book-review
FOREWORD,Ekistics,2,1975,misc
"Administration of the University of Chicago Libraries, 1892-1928. Part I. 1892-1910","The Library Quarterly: Information, Community, Policy",10,1952,research-article
GROUP INTEREST AND THE LAW: A REACTION,Journal of Legal Education,8,1960,research-article
Review Article,Social Work (1939-1970),2,1946,book-review
Review Article,Review of Social Economy,4,2013,book-review
Review Article,NWSA Journal,5,2006,book-review
SOME SOCIOLOGICAL IMPLICATIONS OF PUBLIC HOUSING IN SINGAPORE,Southeast Asian Journal of Sociology,4,1969,research-article
A Proposed Schema of Latin-American Tenure Classes,The Southwestern Social Science Quarterly,15,1956,research-article
The social functions of the telephone,Ekistics,3,1983,research-article
Colonial Construction of a 'Criminal' Tribe: Yerukulas of Madras Presidency,Economic and Political Weekly,11,2000,research-article
Finding a Better Way: Defining Policies to Improve Child Care Workforce Compensation,YC Young Children,7,2002,research-article
The Human Fall-Out,Economic and Political Weekly,2,1976,research-article
Caregiving and Early Life Trauma: Exploring the Experiences of Family Caregivers to Aging Holocaust Survivors,Family Relations,12,2013,research-article
THE FAMILY AND CHILD-REARING AS FORCES FOR ECONOMIC CHANGE: TOWARDS FRESH RESEARCH APPROACHES,Sociology,16,1984,research-article
Review Article,Sociology,4,1998,book-review
Necessities and Luxuries,Economic and Political Weekly,5,1993,book-review
Social Mobility in a Tribal Society: The Case of Papago Indian Veterans,Human Organization,9,1972,research-article
"MANON LESCAUT ET SES CONSOEURS: WOMEN IN THE EARLY FRENCH PERIOD, 1700-1731",Proceedings of the Meeting of the French Colonial Historical Society,9,1980,research-article
Engaged Pedagogy: Valuing the Strengths of Students on the Margins,Journal of Thought,13,2002,research-article
[Editorials],The Journal of Education,3,1919,research-article
EDUCATION IN ACTION,The Journal of Education,3,1929,research-article
"Maternalism and the Promotion of Scientific Medicine during the Industrial Transformation of Appalachia, 1880-1930",NWSA Journal,25,1999,research-article
The News Digest,The Journal of Education,5,1940,misc
"Labour, Work Relations and Identity in a Rural Community in Poland",Anthropological Journal on European Cultures,20,2003,research-article
'They Are Just Terrorists': Constructing Security Claims in Nairobi,Etnofoor,23,2015,research-article
Population Policy: Central Task,Economic and Political Weekly,2,2001,research-article
Social Security in South Africa – a Gender and Human Rights Analysis,"Verfassung und Recht in Übersee / Law and Politics in Africa, Asia and Latin America",21,2014,research-article
COMPARATIVE CRIMINOLOGY : AFRICA,Acta Criminologica,19,1973,research-article
The Denial of Paternity: Pregnancy as a Risk to the 'Pure Relationship',Sociology,16,2011,research-article
JOINT FAMILY AND POPULATION PROBLEM : A STUDY IN LEGAL POLICY,Journal of the Indian Law Institute,17,1974,research-article
A Place for Co-operative Farming,Economic and Political Weekly,11,1971,research-article
Standing in the Local Societies' Shoes,History News,3,1996,research-article
DIMENSIONS OF SOCIAL HOUSING POLICY: AN INTRODUCTION,Journal of Architectural and Planning Research,5,1991,research-article
Rehabilitation of Prostitutes and Drug Addicts,Economic and Political Weekly,2,1977,research-article
"GADA, BIG MAN, K'ALLU: POLITICAL SUCCESSION AMONG THE EASTERN MECH'A OROMO",Northeast African Studies,22,1990,research-article
Interpreting Social Differentiation by Examining the House and Settlement Patterns and the Flow of Resources: A Case Study of Pai-wan Slate House Settlements in Southern Taiwan,Asian Perspectives,25,2011,research-article
[Association Information],Young Children,13,1991,misc
From Global Policies to Local Practices: Behavioural Advice for the Prevention of Mother-to-Child Transmission of HIV,Sociologus,25,2012,research-article
Report of the Nominating Committee,Young Children,13,1973,misc
A SELECT LIST OF ARTICLES ON AFRICA APPEARING IN NON-AFRICANIST PERIODICALS (April-June 2013),African Affairs,11,2013,misc
Ain't it hard?,Issues in Science and Technology,2,2004,book-review
"Muslim and Hindu Women's Public and Private Behaviors: Gender, Family, and Communalized Politics in India",Demography,26,2014,research-article
Demographic Challenges for a Rising China,Daedalus,13,2014,research-article
Chapter 11: Towards Transformative Environmental Adult Education: Lessons from Global Social Movement Contexts,Counterpoints,23,2004,research-article
"Aligning School Counseling, the Changing Workplace, and Career Development Assumptions",Professional School Counseling,10,2003,research-article
Review Article,Contemporary Sociology,3,2016,book-review
DIALOGUE—1: urban renewal,Official Architecture and Planning,7,1968,research-article
ON THE PERSONAL AND STATE SIDE,Bulletin of the National Association for Nursery Education,9,1953,research-article
"It's Complicated—In Fact, It's Complex: Explaining the Gender Gap in Academic Achievement in Science and Mathematics",Psychological Science in the Public Interest,3,2014,research-article
TEACHERS COLLEGE REVIEWS ITS PAST,The Journal of Education,2,1944,research-article
Some Reflections on the Beggar Problem in Ahmedahad,Sociological Bulletin,11,1959,research-article
Policy is political; our ideas about knowledge translation must be too,Journal of Epidemiology and Community Health (1979-),2,2014,research-article
The End of Steam on the Maine Central,The Railway and Locomotive Historical Society Bulletin,16,1963,research-article
"Chapter 14: Conclusion: Some Thoughts on, and Options for, a Critical Pedagogy of Democracy",Counterpoints,18,2011,research-article
RAILROADS AND SLAVERY,Railroad History,26,2003,research-article
Unmeasurable Programs or Unacceptable Goals: The Dilemma of Goal Formation in Social Policy,Human Organization,2,1975,research-article
The Future of Regional Cities in the Information Age: The Impact of Information Technology on Manchester's Financial and Business Services Sector,Sociology,20,2004,research-article
"Captives and Slaves: Indian Labor, Cultural Conversion, and the Plantation Revolution in Virginia",The Virginia Magazine of History and Biography,30,2006,research-article
Concepts of Environmental Quality Standards Based on Life Styles,Ekistics,6,1970,research-article
THE INDIANA CENTENNIAL AND INDIANA PUBLIC SCHOOLS,The Journal of Education,2,1916,research-article
Review Article,Sociology,3,1984,book-review
'It Helped Me Sort of Face the End of the World': The Role of Emotions for Third Sector Climate Change Engagement Initiatives,Environmental Values,20,2015,research-article
bullies and victims,Elementary School Guidance & Counseling,8,1991,research-article
Readiness to Change: Mother-Child Relationship and Domestic Violence Intervention,The British Journal of Social Work,19,2011,research-article
"SOME ASPECTS OF INTERNMENT, HONG KONG January 1942 - August 1945",Social Work (1939-1970),6,1946,research-article
Methods in Teaching Region and Diversity in U.S. Western Women's History,The History Teacher,15,2013,research-article
"CLASS, STATUS, AND POWER STRUCTURES OF COMMUNITY ELITES: A COMPARATIVE CASE STUDY",Social Science Quarterly,15,1985,research-article
Review Article,Middle East Journal,2,1973,book-review
[Association Information],Young Children,6,1989,misc
Ages of Reorganization: Self-organization in the World System,Nature and Culture,23,2006,research-article
DIMENSIONS OF CAREER: AVOIDING REIFICATION IN THE ANALYSIS OF CHANGE,Sociology,21,1992,research-article
Husbands and Housework: Parity or Parody?,Social Science Quarterly,8,1995,research-article
Rural Female Labour and Economic Development,Economic and Political Weekly,9,1979,research-article
The Housing Market of the Budapest Urban Region 1949-1983,Urban Studies,9,1985,research-article
"The Administration for Children, Youth, and Families: First Impressions: A Conversation with Blandina Cardenas",Young Children,7,1978,research-article
Putting a value on children,Educational Horizons,3,1981,research-article
Human Development as Human,Philippine Studies,15,1975,research-article
Review Article,Sociologus,4,1972,book-review
Recruiting Older Women as Teachers,Educational Horizons,4,1953,research-article
A CRITIQUE ON UNFPA AND 'LAW AND POPULATION PROJECT',Journal of the Indian Law Institute,10,1974,research-article
The Moral Harm of Migrant Carework: Realizing a Global Right to Care,Philosophical Topics,21,2009,research-article
Negro Rural Fertility Ratios in the Mississippi Delta,The Southwestern Social Science Quarterly,11,1940,research-article
Front Matter,Charity Organisation Review,9,1902,misc
Review Article,Journal of Social History,3,2013,book-review
SOME NOTES ON THE SIGNIFICANCE OF THE IMPERIAL CHRYSOBULL TO THE VENETIANS OF 992,Byzantion,9,1984,research-article
Review Article,Nomadic Peoples,4,1982,book-review
Editorial Foreword,Sociology,3,2007,misc
THE FAMILY HOUSEHOLD AND INFORMAL OLD AGE CARE IN MEXICO: A RESEARCH NOTE,International Journal of Sociology of the Family,12,2014,research-article
The Nineteenth-Century Bookshelf,The Virginia Magazine of History and Biography,8,1996,research-article
"Locality, identity and memory in south Greenland",Études/Inuit/Studies,20,2001,research-article
SHALL WE SIT IDLY BY?,ETC: A Review of General Semantics,13,1953,research-article
Ageing and intergenerational care: Critical/political ethics of care and feminist gerontology perspectives,Agenda: Empowering Women for Gender Equity,11,2012,research-article
Review Article,Negro History Bulletin,2,1978,book-review
W(h)ither State Interest in Intimacy? Singapore through a Comparative Lens,Sojourn: Journal of Social Issues in Southeast Asia,27,2014,research-article
Human Nature and Crime Control: Improving the Feasibility of Nurturant Strategies,Politics and the Life Sciences,19,1997,research-article
"EXTRACTS FROM ""NOVOSTI MONGOLII""",The Mongolia Society Bulletin,7,1968,misc
From the Editorial Board: Human Democracy in the Age of Standards,The High School Journal,3,2016,misc
The Continuing Significance of Race: An Analysis Across Two Levels of Policing,Social Science Quarterly,18,2010,research-article
A Personal Experience in Community Service,Pi Lambda Theta Journal,2,1942,research-article
"Feeling Insecure in Large Housing Estates: Tackling ""Unsicherheit"" in the Risk Society",Urban Studies,23,2008,research-article
REPORTS PROM THE EDUCATIONAL FIELD,The Journal of Education,2,1924,research-article
Ethical Decision-making in Extreme Operating Environments: Kew Garden Principles and Strategic CSR in Three Service Industry Cases,Business & Professional Ethics Journal,42,2014,research-article
Review Article,Tennessee Historical Quarterly,3,2007,book-review
